question,text
Tác động của những tư tưởng của nhà tư tưởng Trung Hoa cổ đại là gì?,"<answer> xác lập một trật tự xã hội theo mô hình chế độ quân chủ phong kiến trung ương tập quyền <context> Nền triết học Trung Hoa cổ đại ra đời vào thời kỳ quá độ từ chế độ chiếm hữu nô lệ lên xã hội phong kiến. Trong bối cảnh lịch sử ấy, mối quan tâm hàng đầu của các nhà tư tưởng Trung Hoa cổ đại là những vấn đề thuộc đời sống thực tiễn chính trị - đạo đức của xã hội. Tuy họ vẫn đứng trên quan điểm duy tâm để giải thích và đưa ra những biện pháp giải quyết các vấn đề xã hội, nhưng những tư tưởng của họ đã có tác dụng rất lớn, trong việc xác lập một trật tự xã hội theo mô hình chế độ quân chủ phong kiến trung ương tập quyền theo những giá trị chuẩn mực chính trị - đạo đức phong kiến phương Đông."
Tại sao những tư tưởng về Âm Dương Ngũ hành của người Trung Hoa được coi là đặc sắc?,"<answer> mang tính chất duy vật và biện chứng <context> Bên cạnh những suy tư sâu sắc về các vấn đề xã hội, nền triết học Trung Hoa thời cổ còn cống hiến cho lịch sử triết học thế giới những tư tưởng sâu sắc về sự biến dịch của vũ trụ. Những tư tưởng về Âm Dương, Ngũ hành tuy còn có những hạn chế nhất định, nhưng đó là những triết lý đặc sắc mang tính chất duy vật và biện chứng của người Trung Hoa thời cổ, đã có ảnh hưởng to lớn tới thế giới quan triết học sau này không những của người Trung Hoa mà cả những nước chịu ảnh hưởng của nền triết học Trung Hoa."
Âm Dương và Ngũ hành có ý nghĩa gì trong tư tưởng triết học Trung Hoa cổ đại?,"<answer> sự sản sinh biến hóa của vũ trụ <context> Âm Dương và Ngũ hành là hai phạm trù quan trọng trong tư tưởng triết học Trung Hoa, là những khái niệm trừu tượng đầu tiên của người xưa đối với sự sản sinh biến hóa của vũ trụ. Việc sử dụng hai phạm trù Âm - Dương và Ngũ hành đánh dấu bước tiến bộ tư duy khoa học đầu tiên nhằm thoát khỏi sự khống chế về tư tưởng do các khái niệm Thượng đế, Quỷ thần truyền thống đem lại. Đó là cội nguồn của quan điểm duy vật và biện chứng trong tư tưởng triết học của người Trung Hoa."
Dương có ý nghĩa gì trong tư tưởng triết học Trung Hoa?,"<answer> Dương nguyên nghĩa là ánh sáng mặt trời hay những gì thuộc về ánh sáng mặt trời và ánh sáng <context> Dương nguyên nghĩa là ánh sáng mặt trời hay những gì thuộc về ánh sáng mặt trời và ánh sáng; Âm có nghĩa là thiếu ánh sáng mặt trời, tức là bóng râm hay bóng tối. Về sau, Âm - Dương được coi như hai khí; hai nguyên lý hay hai thế lực vũ trụ: biểu thị cho giống đực, hoạt động, hơi nóng, ánh sáng, khôn ngoan, rắn rỏi, v.v. tức là Dương; giống cái, thụ động, khí lạnh, bóng tối, ẩm ướt, mềm mỏng, v.v. tức là Âm. Chính do sự tác động qua lại giữa chúng mà sinh ra mọi sự vật, hiện tượng trong trời đất. Trong Kinh Dịch sau này có bổ sung thêm lịch trình biến hóa của vũ trụ có khởi điểm là Thái cực. Từ Thái cực mà sinh ra Lưỡng nghi (âm dương), rồi Tứ tượng, rồi Bát quái. Vậy, nguồn gốc vũ trụ là Thái cực, chứ không phải Âm Dương. Đa số học giả đời sau cho Thái cực là thứ khí Tiên Thiên, trong đó tiềm phục hai nguyên tố ngược nhau về tính chất là Âm - Dương. Đây là một quan niệm tiến bộ so với quan niệm Thượng đế làm chủ vũ trụ của các đời trước."
"Nguyên lý Trong Âm có Dương, trong Dương có Âm mang ý nghĩa gì?","<answer> khả năng biến đổi Âm Dương <context> Hai thế lực Âm - Dương không tồn tại biệt lập mà thống nhất, chế ước lẫn nhau theo các nguyên lý sau: Âm - Dương thống nhất thành thái cực. Nguyên lý này nói lên tính toàn vẹn, tính chỉnh thể, cân bằng của cái đa và cái duy nhất. Chính nó bao hàm tư tưởng về sự thống nhất giữa cái bất biến và biến đổi. Trong Âm có Dương, trong Dương có Âm. Nguyên lý này nói lên khả năng biến đổi Âm - Dương đã bao hàm trong mỗi mặt đối lập của Thái cực. Các nguyên lý trên được khái quát bằng vòng tròn khép kín, có hai hình đen trắng tượng trưng cho Âm Dương, hai hình này tuy cách biệt hẳn nhau, đối lập nhau nhưng ôm lấy nhau, xoắn lấy nhau. "
Thuyết Ngũ hành đan xen và Thuyết Ngũ hành tương sinh được áp dụng như thế nào trong triết học Trung Hoa cổ đại?,"<answer> giải thích sự sinh trưởng của vạn vật trong vũ trụ <context> Từ Ngũ hành được dịch là năm yếu tố. Nhưng ta không nên coi chúng là những yếu tố tĩnh mà nên coi là năm thế lực động có ảnh hưởng đến nhau. Từ Hành có nghĩa là làm, hoạt động, cho nên từ Ngũ hành theo nghĩa đen là năm hoạt động, hay năm tác nhân. Người ta cũng gọi là ngũ đức có nghĩa là năm thế lực. Thứ nhất là Thủy, hai là Hỏa, ba là Mộc, bốn là Kim, năm là Thổ. Cuối Tây Chu, xuất hiện thuyết Ngũ hành đan xen. Ngũ hành được dùng để giải thích sự sinh trưởng của vạn vật trong vũ trụ. Thổ mộc hỏa đan xen thành ra trăm vật, hoà hợp thì sinh ra vật, đồng nhất thì không tiếp nối (Quốc ngữ - trịnh ngữ). Tức là nói những vật giống nhau thì không thể kết hợp thành vật mới, chỉ có những vật có tính chất khác nhau mới có thể hóa sinh thành vật mới. Tiếp theo là thuyết Ngũ hành tương thắng, rồi xuất hiện thuyết Ngũ hành tương sinh đã bổ khuyết chỗ chưa đầy đủ của thuyết Ngũ hành đan xen."
Ai là người đại biểu lớn nhất của việc kết hợp thuyết Âm Dương và Ngũ hành trong thời Chiến Quốc?,"<answer> Trâu Diễn. <context> Thuyết Âm Dương và Ngũ hành được kết hợp làm một vào thời Chiến Quốc đại biểu lớn nhất là Trâu Diễn. Ông đã dùng hệ thống lý luận Âm Dương Ngũ hành tương sinh tương khắc để giải thích mọi vật trong trời đất và giữa nhân gian. Từ đó phát sinh ra quan điểm duy tâm Ngũ đức có trước có sau. Từ thời Tần Hán về sau, các nhà thống trị có ý thức phát triển thuyết Âm Dương Ngũ hành, biến thành một thứ thần học, chẳng hạn thuyết thiên nhân cảm ứng của Đổng Trọng Thư, hoặc Phụng mệnh trời của các triều đại sau đời Hán."
Ai là người sáng lập của Nho gia?,"<answer> Khổng Tử <context> Nho gia do Khổng Tử (551 - 479 trước Công Nguyên sáng lập) xuất hiện vào khoảng thế kỷ VI trước Công Nguyên dưới thời Xuân Thu. Sau khi Khổng Tử chết, Nho gia chia làm tám phái, quan trọng nhất là phái Mạnh Tử (327 - 289 trước Công Nguyên) và Tuân Tử (313 - 238 trước Công Nguyên)."
Theo Mạnh Tử con người có thể nhận thức thế giới khách quan như thế nào?,"<answer> qua việc tồn tâm dưỡng tính mà nhận thức được thế giới khách quan <context> Mạnh Tử đã đi sâu tìm hiểu bản tính con người trên cơ sở đạo nhân của Khổng Tử, đề ra thuyết tính thiện, ông cho rằng, thiên mệnh quyết định nhân sự, nhưng con người có thể qua việc tồn tâm dưỡng tính mà nhận thức được thế giới khách quan, tức cái gọi tận tâm, tri tính, tri thiên, vạn vật đều có đủ trong ta. Ông hệ thống hóa triết học duy tâm của Nho gia trên phương diện thế giới quan và nhận thức luận. "
Tuân Tử đề xuất tư tưởng triết học dựa trên nguyên lý gì?,"<answer> con người vốn có tính ác, coi thế giới khách quan có quy luật riêng. <context> Tuân Tử đã phát triển truyền thống trọng lễ của Nho gia, nhưng trái với Mạnh Tử, ông cho rằng con người vốn có tính ác, coi thế giới khách quan có quy luật riêng. Theo ông sức người có thể thắng trời. Tư tưởng triết học của Tuân Tử thuộc chủ nghĩa duy vật thô sơ."
Nhân nghĩa được hiểu như thế nào trong triết học của Nho gia?,"<answer> nhân là lòng thương người, nghĩa là dạ thủy chung <context> Nhân nghĩa theo cách hiểu thông thường thì nhân là lòng thương người, nghĩa là dạ thủy chung; bất nhân là ác, bất nghĩa là bạc; mọi đức khác của con người đều từ nhân nghĩa mà ra cũng như muôn vật muôn loài trên trời, dưới đất đều do âm dương và nhu cương mà ra. Đức nhân xét trong mối liên hệ với đức nghĩa thì nhân là bản chất của nghĩa, bản chất ấy là thương người. Đức nghĩa xét trong mối liên hệ với nhân thì nghĩa là hình thức của nhân. Nghĩa là phần ta phải làm. Đó là mệnh lệnh tối cao. Với Nho gia, nghĩa và lợi là hai từ hoàn toàn đối lập. Nhà Nho phải biết phân biệt nghĩa và lợi và sự phân biệt này là tối quan trọng trong giáo dục đạo đức."
